==4736== NVPROF is profiling process 4736, command: ./sssp32 ../../data/ship_003.mtx
==4736== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==4736== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4736== Profiling application: ./sssp32 ../../data/ship_003.mtx
==4736== Profiling result:
==4736== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_per_warp","Instructions per warp",6909.947886,6909.947886,6909.947886
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",92.804055%,92.804055%,92.804055%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_replay_overhead","Instruction Replay Overhead",0.000072,0.000198,0.000137
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gld_transactions_per_request","Global Load Transactions Per Request",16.000001,16.000001,16.000001
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gld_transactions","Global Load Transactions",50484162,50484162,50484162
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gst_transactions","Global Store Transactions",15216,15216,15216
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"l2_read_transactions","L2 Read Transactions",630826,636483,632813
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"l2_write_transactions","L2 Write Transactions",15229,15229,15229
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"global_hit_rate","Global Hit Rate in unified l1/tex",81.493705%,81.648235%,81.584588%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gld_requested_throughput","Requested Global Load Throughput",58.818925GB/s,59.834980GB/s,59.288302GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gst_requested_throughput","Requested Global Store Throughput",1.188332GB/s,1.208859GB/s,1.197815GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gld_throughput","Global Load Throughput",268.108285GB/s,272.739665GB/s,270.247796GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gst_throughput","Global Store Throughput",1.188332GB/s,1.208859GB/s,1.197815GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"tex_cache_hit_rate","Unified Cache Hit Rate",95.007374%,95.044896%,95.025814%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",33.503854%,34.578526%,34.025568%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"tex_cache_throughput","Unified Cache Throughput",985.671804GB/s,1002.698582GB/s,993.537491GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",49.393469GB/s,50.335293GB/s,49.779895GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",1.188332GB/s,1.208859GB/s,1.197815GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"l2_read_throughput","L2 Throughput (Reads)",49.303421GB/s,50.259851GB/s,49.815559GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"l2_write_throughput","L2 Throughput (Writes)",1.189347GB/s,1.209892GB/s,1.198838GB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"sysmem_write_throughput","System Memory Write Throughput",409.455078KB/s,416.528320KB/s,412.720703KB/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gld_efficiency","Global Memory Load Efficiency",21.938496%,21.938496%,21.938496%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"tex_cache_transactions","Unified Cache Transactions",12621040,12621040,12621040
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_executed","Instructions Executed",37921794,37921794,37921794
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_issued","Instructions Issued",37924527,37929291,37926866
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.602771%,0.872650%,0.663174%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",11.026952%,11.402068%,11.228685%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"stall_memory_dependency","Issue Stall Reasons (Data Request)",11.358355%,13.427054%,13.100080%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"stall_texture","Issue Stall Reasons (Texture)",0.235325%,0.392282%,0.301597%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"stall_other","Issue Stall Reasons (Other)",39.662912%,42.082483%,40.877378%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.101682%,0.288996%,0.145329%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",16.985453%,17.569634%,17.281773%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_fp_32","FP Instructions(Single)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_fp_64","FP Instructions(Double)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_integer","Integer Instructions",754081600,754081600,754081600
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_control","Control-Flow Instructions",3259840,3259840,3259840
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_compute_ld_st","Load/Store Instructions",101090048,101090048,101090048
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_misc","Misc Instructions",267743314,267743314,267743314
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"issue_slots","Issue Slots",35594861,35599390,35597044
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"cf_issued","Issued Control-Flow Instructions",120894,120894,120894
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"cf_executed","Executed Control-Flow Instructions",120894,120894,120894
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"ldst_issued","Issued Load/Store Instructions",12660332,12660332,12660332
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"ldst_executed","Executed Load/Store Instructions",3183140,3183140,3183140
"GeForce GTX 1080 (0)","void bmv32_sparse_full_minplus<int, unsigned int>(unsigned int const *, unsigned int const *, unsigned int*, int const *, int const *, int)",59,"atomic_transactions","Atomic Transactions",0,0,0
